Label,Count
,977
Zosterops lateralis_Silvereye,258
Zoothera lunulata_Bassian Thrush,216
Zapornia tabuensis_Spotless Crake,357
Zapornia pusilla_Baillon's Crake,129
Yoyetta humphreyae_Varied Ambertail,101
Yoyetta celis_Silver Princess,302
Vanellus tricolor_Banded Lapwing,335
Vanellus miles_Masked Lapwing,353
Uperoleia rugosa_Wrinkled Toadlet,55
Tyto tenebricosa_Sooty Owl,293
Tyto novaehollandiae_Australian Masked Owl,185
Tyto longimembris_Australasian Grass-Owl,267
Tyto javanica_Eastern Barn Owl,276
Turnix velox_Little Buttonquail,415
Turnix varius_Painted Buttonquail,327
Turnix maculosus_Red-backed Buttonquail,205
Turdus merula_Common Blackbird,289
Trichosurus vulpecula_Common Brushtail Possum,364
Trichoglossus moluccanus_Rainbow Lorikeet,218
Trichoglossus chlorolepidotus_Scaly-breasted Lorikeet,196
Tribonyx ventralis_Black-tailed Nativehen,111
Todiramphus sanctus_Sacred Kingfisher,342
Todiramphus pyrrhopygius_Red-backed Kingfisher,227
Threskiornis spinicollis_Straw-necked Ibis,201
Threskiornis molucca_Australian Ibis,343
Thopha saccata_Eastern Double Drummer,302
Thinornis melanops_Black-fronted Dotterel,428
Teleogryllus commodus_Black Field Cricket,366
Tamasa tristigma_Brown Bunyip,184
Taeniopygia castanotis_Zebra Finch,377
Tachyspiza novaehollandiae_Grey Goshawk,163
Tachyspiza fasciata_Brown Goshawk,292
Tachyspiza cirrocephala_Collared Sparrowhawk,251
Tachybaptus novaehollandiae_Australasian Grebe,113
Synoicus ypsilophorus_Brown Quail,412
Synoicus chinensis_King Quail,130
Sugomel nigrum_Black Honeyeater,240
Sturnus vulgaris_Common Starling,236
Struthidea cinerea_Apostlebird,228
Strepera graculina_Pied Currawong,346
Stizoptera bichenovii_Double-barred Finch,247
Stagonopleura guttata_Diamond Firetail,198
Spilopelia chinensis_Spotted Dove,164
Sphecotheres vieilloti_Australasian Figbird,258
Smicrornis brevirostris_Weebill,200
Sericulus chrysocephalus_Regent Bowerbird,200
Sericornis magnirostra_Large-billed Scrubwren,94
Sericornis frontalis_White-browed Scrubwren,342
Scythrops novaehollandiae_Channel-billed Cuckoo,223
Rhipidura rufifrons_Rufous Fantail,151
Rhipidura leucophrys_Willie-wagtail,276
Rhipidura albiscapa_Grey Fantail,330
Recurvirostra novaehollandiae_Red-necked Avocet,289
Pyrrholaemus sagittatus_Speckled Warbler,144
Pyrrholaemus brunneus_Redthroat,212
Purnella albifrons_White-fronted Honeyeater,149
Ptilotula plumula_Grey-fronted Honeyeater,257
Ptilotula penicillata_White-plumed Honeyeater,295
Ptilotula ornata_Yellow-plumed Honeyeater,272
Ptilotula fusca_Fuscous Honeyeater,305
Ptilonorhynchus violaceus_Satin Bowerbird,218
Ptilinopus regina_Rose-crowned Fruit-Dove,129
Pteropus poliocephalus_Grey-headed Flying-fox,305
Psophodes olivaceus_Eastern Whipbird,261
Psophodes cristatus_Chirruping Wedgebill,359
Pseudorhynchus mimeticus_Mimicking Snout-nose,396
Pseudorhynchus lessonii_Lesson's Mimicking Snout-nose,385
Pseudophryne coriacea_Red-backed Toadlet,381
Pseudophryne bibroni_Bibron's Toadlet,66
Pseudocheirus peregrinus_Common Ring-tailed Possum,224
Psephotus haematonotus_Red-rumped Parrot,211
Psephotellus varius_Mulga Parrot,121
Psaltoda plaga_Black Prince,350
Psaltoda pictibasis_Black Friday,245
Psaltoda mossi_Little Baron,219
Psaltoda moerens_Redeye Cicada,427
Psaltoda harrisii_Yellowbelly,120
Porzana fluminea_Australian Spotted Crake,353
Porphyrio melanotus_Australasian Swamphen,199
Poodytes gramineus_Little Grassbird,208
Pomatostomus temporalis_Grey-crowned Babbler,130
Pomatostomus superciliosus_White-browed Babbler,215
Pomatostomus ruficeps_Chestnut-crowned Babbler,207
Polytelis swainsonii_Superb Parrot,349
Podargus strigoides_Tawny Frogmouth,240
Plegadis falcinellus_Glossy Ibis,264
Plectorhyncha lanceolata_Striped Honeyeater,233
Platyplectrum ornatum_Ornate burrowing Frog,187
Platycercus eximius_Eastern Rosella,346
Platycercus elegans_Crimson Rosella,220
Platalea leucorodia_Royal Spoonbill,316
Pitta versicolor_Noisy Pitta,245
Phylidonyris novaehollandiae_New Holland Honeyeater,144
Phylidonyris niger_White-cheeked Honeyeater,204
Philemon corniculatus_Noisy Friarbird,275
Philemon citreogularis_Little Friarbird,155
Phascolarctos cinereus_Koala,237
Phaps histrionica_Flock Bronzewing,220
Phaps elegans_Brush Bronzewing,333
Phaps chalcoptera_Common Bronzewing,372
Phalacrocorax varius_Pied Cormorant,186
Phalacrocorax sulcirostris_Little Black Cormorant,183
Phalacrocorax carbo_Great Cormorant,257
Pezoporus wallicus_Ground Parrot,103
Petroica rosea_Rose Robin,148
Petroica phoenicea_Flame Robin,191
Petroica goodenovii_Red-capped Robin,200
Petroica boodang_Scarlet Robin,211
Petrochelidon nigricans_Tree Martin,318
Petrochelidon ariel_Fairy Martin,239
Petaurus breviceps_Sugar Glider,208
Peltohyas australis_Inland Dotterel,122
Pelodryas caerulea_Green Tree Frog,326
Pedionomus torquatus_Plains Wanderer,239
Pauropsalta mneme_Alarm Clock Squawker,377
Pauropsalta castanea_Flinders Squawker,173
Passer domesticus_House Sparrow,210
Parvipsitta pusilla_Little Lorikeet,167
Pardalotus striatus_Striated Pardalote,289
Pardalotus punctatus_Spotted Pardalote,399
Paracrinia haswelli_Haswell's Froglet,110
Pandion cristatus_Eastern Osprey,116
Palapsalta circumdata_Bronze Tree-Buzzer,206
Pachycephala rufiventris_Rufous Whistler,311
Pachycephala pectoralis_Golden Whistler,348
Pachycephala inornata_Gilberts Whistler,243
Ovis aries_Sheep,404
Orthonyx temminckii_Australian Logrunner,150
Oriolus sagittatus_Olive-backed Oriole,352
Origma solitaria_Rockwarbler,196
Oreoica gutturalis_Crested Bellbird,226
Oecanthus angustus_Common Tree Cricket,222
Ocyphaps lophotes_Crested Pigeon,254
Nymphicus hollandicus_Cockatiel,169
Notaden bennettii_Crucifix Frog,108
Northiella haematogaster_Greater Bluebonnet,237
Ninox strenua_Powerful Owl,302
Ninox connivens_Barking Owl,321
Ninox boobook_Australian Boobook,319
Nesoptilotis leucotis_White-eared Honeyeater,230
Neosericornis citreogularis_Yellow-throated Scrubwren,185
Neopsephotus bourkii_Bourke's Parrot,243
Neophema pulchella_Turquoise Parrot,206
Neophema chrysostoma_Blue-winged Parrot,78
Neochmia temporalis_Red-browed Finch,333
Neobatrachus sudellae_Sudell's Frog,254
Neobatrachus pictus_Painted Frog,83
Myzomela sanguinolenta_Scarlet Myzomela,372
Myopsalta mackinlayi_Fence Buzzer,88
