Label,Count
,815
Zosterops lateralis_Silvereye,220
Zoothera lunulata_Bassian Thrush,108
Zapornia tabuensis_Spotless Crake,163
Zapornia pusilla_Baillon's Crake,126
Yoyetta repetens_Zipping Ambertail,145
Yoyetta humphreyae_Varied Ambertail,70
Yoyetta cumberlandi_Cumberland Ambertail,149
Yoyetta celis_Silver Princess,188
Vulpes vulpes_Red Fox,147
Vanellus tricolor_Banded Lapwing,309
Vanellus miles_Masked Lapwing,230
Uperoleia rugosa_Wrinkled Toadlet,44
Tyto tenebricosa_Sooty Owl,269
Tyto novaehollandiae_Australian Masked Owl,163
Tyto longimembris_Australasian Grass-Owl,266
Tyto javanica_Eastern Barn Owl,230
Turnix velox_Little Buttonquail,284
Turnix varius_Painted Buttonquail,175
Turnix maculosus_Red-backed Buttonquail,90
Turdus merula_Common Blackbird,169
Trichosurus vulpecula_Common Brushtail Possum,317
Trichoglossus moluccanus_Rainbow Lorikeet,203
Trichoglossus chlorolepidotus_Scaly-breasted Lorikeet,195
Tribonyx ventralis_Black-tailed Nativehen,62
Todiramphus sanctus_Sacred Kingfisher,307
Todiramphus pyrrhopygius_Red-backed Kingfisher,145
Threskiornis spinicollis_Straw-necked Ibis,109
Threskiornis molucca_Australian Ibis,175
Thopha saccata_Eastern Double Drummer,302
Thinornis melanops_Black-fronted Dotterel,313
Telmapsalta hackeri_Paperbark Cicada,156
Teleogryllus commodus_Black Field Cricket,281
Tamasa tristigma_Brown Bunyip,140
Taeniopygia castanotis_Zebra Finch,317
Tachyspiza novaehollandiae_Grey Goshawk,126
Tachyspiza fasciata_Brown Goshawk,173
Tachyspiza cirrocephala_Collared Sparrowhawk,155
Tachybaptus novaehollandiae_Australasian Grebe,112
Synoicus ypsilophorus_Brown Quail,308
Synoicus chinensis_King Quail,81
Sugomel nigrum_Black Honeyeater,120
Sturnus vulgaris_Common Starling,190
Struthidea cinerea_Apostlebird,210
Strepera versicolor_Gray Currawong,92
Strepera graculina_Pied Currawong,281
Stizoptera bichenovii_Double-barred Finch,131
Stagonopleura guttata_Diamond Firetail,104
Spilopelia chinensis_Spotted Dove,156
Sphecotheres vieilloti_Australasian Figbird,239
Smicrornis brevirostris_Weebill,200
Sericulus chrysocephalus_Regent Bowerbird,157
Sericornis magnirostra_Large-billed Scrubwren,92
Sericornis frontalis_White-browed Scrubwren,321
Scythrops novaehollandiae_Channel-billed Cuckoo,212
Rhipidura rufifrons_Rufous Fantail,151
Rhipidura leucophrys_Willie-wagtail,254
Rhipidura albiscapa_Grey Fantail,307
